,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
1,SP1,201617,19/08/2016,La Coruna,Eibar,2,1,H,0,0,D
2,SP1,201617,19/08/2016,Malaga,Osasuna,1,1,D,0,0,D
3,SP1,201617,20/08/2016,Barcelona,Betis,6,2,H,3,1,H
4,SP1,201617,20/08/2016,Granada,Villarreal,1,1,D,0,0,D
5,SP1,201617,20/08/2016,Sevilla,Espanol,6,4,H,3,3,D
6,SP1,201617,21/08/2016,Ath Madrid,Alaves,1,1,D,0,0,D
7,SP1,201617,21/08/2016,Sociedad,Real Madrid,0,3,A,0,2,A
8,SP1,201617,21/08/2016,Sp Gijon,Ath Bilbao,2,1,H,0,0,D
9,SP1,201617,22/08/2016,Celta,Leganes,0,1,A,0,0,D
10,SP1,201617,22/08/2016,Valencia,Las Palmas,2,4,A,2,3,A
11,SP1,201617,26/08/2016,Betis,La Coruna,0,0,D,0,0,D
12,SP1,201617,26/08/2016,Espanol,Malaga,2,2,D,1,0,H
13,SP1,201617,27/08/2016,Eibar,Valencia,1,0,H,0,0,D
14,SP1,201617,27/08/2016,Leganes,Ath Madrid,0,0,D,0,0,D
15,SP1,201617,27/08/2016,Osasuna,Sociedad,0,2,A,0,1,A
16,SP1,201617,27/08/2016,Real Madrid,Celta,2,1,H,0,0,D
17,SP1,201617,28/08/2016,Alaves,Sp Gijon,0,0,D,0,0,D
18,SP1,201617,28/08/2016,Ath Bilbao,Barcelona,0,1,A,0,1,A
19,SP1,201617,28/08/2016,Las Palmas,Granada,5,1,H,1,1,D
20,SP1,201617,28/08/2016,Villarreal,Sevilla,0,0,D,0,0,D
21,SP1,201617,09/09/2016,Sociedad,Espanol,1,1,D,0,0,D
22,SP1,201617,10/09/2016,Barcelona,Alaves,1,2,A,0,1,A
23,SP1,201617,10/09/2016,Celta,Ath Madrid,0,4,A,0,0,D
24,SP1,201617,10/09/2016,Malaga,Villarreal,0,2,A,0,2,A
25,SP1,201617,10/09/2016,Real Madrid,Osasuna,5,2,H,3,0,H
26,SP1,201617,10/09/2016,Sevilla,Las Palmas,2,1,H,0,1,A
27,SP1,201617,11/09/2016,Granada,Eibar,1,2,A,0,1,A
28,SP1,201617,11/09/2016,La Coruna,Ath Bilbao,0,1,A,0,1,A
29,SP1,201617,11/09/2016,Sp Gijon,Leganes,2,1,H,2,0,H
30,SP1,201617,11/09/2016,Valencia,Betis,2,3,A,0,1,A
31,SP1,201617,16/09/2016,Betis,Granada,2,2,D,1,2,A
32,SP1,201617,17/09/2016,Ath Madrid,Sp Gijon,5,0,H,3,0,H
33,SP1,201617,17/09/2016,Eibar,Sevilla,1,1,D,0,1,A
34,SP1,201617,17/09/2016,Las Palmas,Malaga,1,0,H,1,0,H
35,SP1,201617,17/09/2016,Leganes,Barcelona,1,5,A,0,3,A
36,SP1,201617,18/09/2016,Ath Bilbao,Valencia,2,1,H,2,1,H
37,SP1,201617,18/09/2016,Espanol,Real Madrid,0,2,A,0,1,A
38,SP1,201617,18/09/2016,Osasuna,Celta,0,0,D,0,0,D
39,SP1,201617,18/09/2016,Villarreal,Sociedad,2,1,H,2,1,H
40,SP1,201617,19/09/2016,Alaves,La Coruna,0,0,D,0,0,D
41,SP1,201617,20/09/2016,Malaga,Eibar,2,1,H,1,1,D
42,SP1,201617,20/09/2016,Sevilla,Betis,1,0,H,0,0,D
43,SP1,201617,21/09/2016,Barcelona,Ath Madrid,1,1,D,1,0,H
44,SP1,201617,21/09/2016,Celta,Sp Gijon,2,1,H,0,0,D
